epoch,accuracy,loss,val_accuracy,val_loss
0,0.38527539372444153,1.3201361894607544,0.46685880422592163,1.260212779045105
1,0.6764461398124695,0.9423868656158447,0.6455331444740295,0.9466413855552673
2,0.7954608201980591,0.5589659810066223,0.7002881765365601,0.7810108661651611
3,0.8582895398139954,0.4010854661464691,0.6945244669914246,0.7964455485343933
4,0.8945474624633789,0.31487566232681274,0.6743515729904175,0.8600662350654602
5,0.9130915999412537,0.2561909258365631,0.6916426420211792,0.8995389342308044
6,0.9258233904838562,0.21840901672840118,0.7031700015068054,0.9708990454673767
7,0.9429836869239807,0.1814955770969391,0.6974063515663147,1.0243059396743774
8,0.9526709318161011,0.14993984997272491,0.6916426420211792,1.0943729877471924
9,0.9612510204315186,0.13171984255313873,0.6974063515663147,1.094281554222107
10,0.9656794667243958,0.11738324910402298,0.6772334575653076,1.1988366842269897
11,0.9681705236434937,0.10173758119344711,0.680115282535553,1.2554314136505127
12,0.9684472680091858,0.10086763650178909,0.6685879230499268,1.3079931735992432
13,0.9745364189147949,0.09148841351270676,0.6772334575653076,1.3710484504699707
14,0.9739828109741211,0.07979128509759903,0.6772334575653076,1.3786444664001465
15,0.974259614944458,0.08196276426315308,0.680115282535553,1.4307259321212769
16,0.9745364189147949,0.08207853883504868,0.6714697480201721,1.4644886255264282
17,0.9745364189147949,0.08126997947692871,0.6714697480201721,1.4761176109313965
18,0.975089967250824,0.07092874497175217,0.6541786789894104,1.4900256395339966
19,0.975643515586853,0.06932102888822556,0.6858789920806885,1.537379503250122
20,0.9775809645652771,0.06479576975107193,0.6685879230499268,1.5631853342056274
21,0.9792416095733643,0.06270451098680496,0.6685879230499268,1.5353533029556274
22,0.9781345129013062,0.0621129646897316,0.6599423885345459,1.610714077949524
23,0.9773041605949402,0.061090998351573944,0.680115282535553,1.6247562170028687
24,0.9775809645652771,0.0603470541536808,0.6829971075057983,1.6581841707229614
